funcname,number of int,total seconds
bubble_sort,10,0
bubble_sort,100,0
bubble_sort,1000,0.0133333
bubble_sort,10000,1.27667
bubble_sort,100000,127.877
insertion_sort,10,0
insertion_sort,100,0
insertion_sort,1000,0.00333333
insertion_sort,10000,0.433333
insertion_sort,100000,42.8733
spin_the_bottle_sort,10,0
spin_the_bottle_sort,100,0.00333333
spin_the_bottle_sort,1000,0.436667
spin_the_bottle_sort,10000,54.2567
shell_sort 1,10,0
shell_sort 1,100,0
shell_sort 1,1000,0
shell_sort 1,10000,0.01
shell_sort 1,100000,0.113333
shell_sort 1,1000000,1.63667
shell_sort 2,10,0
shell_sort 2,100,0
shell_sort 2,1000,0
shell_sort 2,10000,0.00666667
shell_sort 2,100000,0.08
shell_sort 2,1000000,1.01667
annealing_sort 1,10,0
annealing_sort 1,100,0
annealing_sort 1,1000,0.01
annealing_sort 1,10000,0.14
annealing_sort 1,100000,1.73667
annealing_sort 2,10,0
annealing_sort 2,100,0.00333333
annealing_sort 2,1000,0.0166667
annealing_sort 2,10000,0.186667
annealing_sort 2,100000,2.12
annealing_sort 2,1000000,22.6933
