funcname,number of int,total seconds
bubble_sort,10,0
bubble_sort,100,0
bubble_sort,1000,0.0133333
bubble_sort,10000,1.27333
bubble_sort,100000,127.883
insertion_sort,10,0
insertion_sort,100,0
insertion_sort,1000,0.00666667
insertion_sort,10000,0.433333
insertion_sort,100000,42.8967
spin_the_bottle_sort,10,0
spin_the_bottle_sort,100,0.00333333
spin_the_bottle_sort,1000,0.38
spin_the_bottle_sort,10000,58.86
shell_sort 1,10,0
shell_sort 1,100,0
shell_sort 1,1000,0.000333333
shell_sort 1,10000,0.00333333
shell_sort 1,100000,0.113333
shell_sort 1,1000000,1.63333
shell_sort 1,10000000,24.65
shell_sort 2,10,0
shell_sort 2,100,0
shell_sort 2,1000,0.00333333
shell_sort 2,10000,0.00666667
shell_sort 2,100000,0.08
shell_sort 2,1000000,1.01
shell_sort 2,10000000,12.1633
annealing_sort 1,10,0
annealing_sort 1,100,0
annealing_sort 1,1000,0.01
annealing_sort 1,10000,0.14
annealing_sort 1,100000,1.75
annealing_sort 1,1000000,21.22
annealing_sort 2,10,0
annealing_sort 2,100,0
annealing_sort 2,1000,0.0166667
annealing_sort 2,10000,0.19
annealing_sort 2,100000,2.12667
annealing_sort 2,1000000,22.6367
